Version;Runtime pre Analysis in s;Runtime IncLing in s; Runtime total; Configurations; Newly Calculated Configurations; Efficiency
model00001.xml;0.037;2.001;2.038;6;6;2.9440628066732093
model00002.xml;0.046;2.001;2.0469999999999997;11;5;5.373717635564241
model00003.xml;0.11;2.001;2.1109999999999998;14;3;6.631927996210328
model00004.xml;0.101;4.0;4.101;21;7;5.120702267739576
model00005.xml;0.231;2.001;2.2319999999999998;18;4;8.06451612903226
model00006.xml;0.18;4.0;4.18;25;7;5.980861244019139
model00007.xml;0.292;6.001;6.293;56;32;8.898776418242491
model00008.xml;0.429;8.001;8.43;68;12;8.066429418742587
model00009.xml;0.51;8.002;8.512;65;9;7.636278195488721
